animal_name,animal_gender,animal_birth_year,breed_rc,borough,zip_code,license_issued_date,license_expired_date,extract_year
Mica,F,2005,Unknown,Brooklyn,11222,9/21/2014,9/29/2016,2016
Riggins,F,2011,Pit Bull,Manhattan,10023,9/21/2014,9/21/2019,2016
Jelly,F,2014,German Shepherd Crossbreed,Queens,11364,9/21/2014,9/21/2019,2016
Andy,F,2013,Cocker Spaniel,Brooklyn,11201,9/21/2014,9/21/2018,2016
Maggie,F,2013,Labrador (or Crossbreed),Manhattan,10023,9/21/2014,9/30/2016,2016
Solo,M,2008,Pit Bull,Brooklyn,11234,9/21/2014,6/10/2019,2016
Zoe,F,2004,Havanese,Brooklyn,11231,9/21/2014,10/31/2019,2016
Hannah,F,2014,"Schnauzer, Miniature",Manhattan,10019,9/21/2014,9/21/2019,2016
Chance,M,2008,Border Terrier,Brooklyn,11234,9/21/2014,9/21/2019,2016
Patch,M,2004,Maltese,Manhattan,10016,9/21/2014,10/2/2019,2016
Woody,M,2010,Unknown,Brooklyn,11205,9/21/2014,11/9/2019,2016
Stella,F,2013,Border Collie,Queens,11377,9/22/2014,9/22/2019,2016
Mia,F,2011,Yorkshire Terrier,Brooklyn,11222,9/22/2014,10/10/2016,2016
Chase,M,2007,Shih Tzu,Brooklyn,11228,9/22/2014,9/29/2016,2016
Daisy,F,2014,"Poodle, Miniature",Manhattan,10038,9/22/2014,9/22/2017,2016
Fiona,F,2013,Boston Terrier,Manhattan,10128,9/22/2014,9/22/2019,2016
Lexy,F,2007,Yorkshire Terrier,Staten Island,10314,9/22/2014,9/4/2019,2016
Dakota,F,2014,Vizsla,Manhattan,10003,9/22/2014,9/22/2019,2016
Parker,M,2014,Beagle Crossbreed,Staten Island,10309,9/23/2014,9/23/2019,2016
Storm,F,2012,Labrador (or Crossbreed),Brooklyn,11209,9/23/2014,10/4/2019,2016
Shadow,F,1999,Collie Crossbreed,Staten Island,10306,9/23/2014,3/25/2016,2016
Leopold,M,2008,Beagle,Manhattan,10023,9/23/2014,7/18/2017,2016
Eveylyn,F,2008,French Bulldog,Manhattan,10011,9/23/2014,9/23/2016,2016
Nena,F,2007,Chihuahua,Bronx,10473,9/23/2014,9/23/2016,2016
Piper,F,2014,Pointer,Manhattan,10012,9/23/2014,9/23/2017,2016
Julius,M,2008,Australian Cattledog,Brooklyn,11215,9/23/2014,9/23/2019,2016
Chunk,M,2011,"Bull Dog, French",Manhattan,10011,9/23/2014,8/16/2016,2016
Ivory,F,2004,"Poodle, Toy",Bronx,10461,9/23/2014,10/19/2017,2016
Speedy,M,2007,Unknown,Brooklyn,11234,9/24/2014,3/29/2019,2016
Bamba,M,2011,French Bulldog,Brooklyn,11201,9/24/2014,9/24/2016,2016
Bear,M,2013,Shiba Inu,Manhattan,10014,9/24/2014,9/24/2019,2016
Ted,M,2011,Pit Bull,Brooklyn,11206,9/24/2014,9/24/2017,2016
Ali,M,2009,Unknown,Staten Island,10314,9/24/2014,10/28/2018,2016
Rumi,M,2011,Unknown,Manhattan,10021,9/24/2014,7/31/2018,2016
Oreo,F,2005,Havanese,Manhattan,10026,9/24/2014,5/21/2017,2016
Lawrence,M,2010,Pit Bull,Manhattan,10025,9/25/2014,10/26/2017,2016
Spike,M,2012,Unknown,Manhattan,10023,10/1/2014,10/31/2016,2016
Mason,M,2014,Pit Bull,Manhattan,10032,9/25/2014,9/25/2017,2016
Princess,F,2008,Yorkshire Terrier,Queens,11102,9/25/2014,10/8/2016,2016
Chocolate,F,2007,Pit Bull,Brooklyn,11208,9/25/2014,10/28/2016,2016
Brooklyn,F,2011,Unknown,Manhattan,10003,10/7/2014,10/24/2019,2016
Weezy,M,2006,Pit Bull,Manhattan,10040,9/25/2014,9/25/2017,2016
Lola,F,2014,Labrador (or Crossbreed),Manhattan,10040,9/25/2014,9/25/2019,2016
Demo,M,2009,Havanese,Queens,11365,9/25/2014,10/2/2019,2016
