number,entity_name,full_address,website,lat,long
74,Tiki Leaves,"1511 Neptune Ave, Brooklyn, New York, 11224",tikileaves.com,40.5793585,-73.9835606
75,Silk Road NYC,"166-30 Jamaica Ave, Jamaica, New York, 11432",silkroadnyc.com,40.7060615,-73.7929981
76,TreeHead Culture,"665 North French Rd, Amherst, New York, 14228",treeheadculture.com,43.034209000000004,-78.80006081546028
77,The Travel Agency Downtown Brooklyn,"118 Flatbush Ave, Brooklyn, New York, 11217",thetravelagency.co,40.68372337209302,-73.97734051162792
78,Matawana Dispensary,"533 5th Ave, Brooklyn, New York, 11215",matawanany.com,40.6662026,-73.9885839
79,The Bakery Cannabis Dispensary,"1099 Loudon Rd, Cohoes, New York, 12047",518bakery.com,42.7838643,-73.7435722
80,Raven Dispensaries LLC (dba Raven's Joint),"4106 NY-31, Ste 903, Clay, New York, 13041",ravensjoint.com,NA,NA
81,Bronx Joint,"925 Hunts Point Ave, Bronx, New York, 10459",thebronxjoint.com,40.8202572,-73.8910655
82,Polanco Brothers,"12 East 42nd St, New York, New York, 10017",dutchie.com/dispensary/polanco-brothers-corp,40.753057,-73.98053730686502
83,Liberty Buds,"1115 1st Ave, New York, New York, 10065",libertybudsnyc.com,40.76116625,-73.96112646273605
84,Leafy Peaks,"27 B Saratoga Ave, Waterford, New York, 12188",leafypeaks.com,42.790156,-73.688325
85,Bliss + Lex (Weedish LLC),"128 E 86th St, New York, New York, 10028",blissandlex.com,40.779373050000004,-73.95604449235933
86,Mr Good Vybz,"25 N Pearl St, Albany, New York, 12207",mrgoodvbyz.com,42.6503934,-73.7520115
87,Black Market Canna Co LLC,"89 Main St, Poughkeepsie, New York, 12601",Website coming soon,41.7058461,-73.93594366433314
88,P. Nuggs,"4171 State Route 11, Ste 2, Malone, New York, 12953",pnuggs.com,NA,NA
89,Aspire,"205 N Fulton St, Ithaca, New York, 14850",aspirecannabis.org,42.4404646,-76.5104004
90,Just Breathe Fingerlakes,"2988 US Route 20, Seneca Falls, New York, 13148",Website coming soon,NA,NA
91,Honey Kenmore (Nickel City Green LLC),"2981 Delaware Ave, Kenmore, New York, 14217",honeykenmore.com,42.9655405,-78.870023
92,High Points Dispensary,"811 Canandaigua Rd, Geneva, New York, 14456",highpointsdispensary.net,42.85643115,-77.01285567321118
93,"Trends Dispensaries, LLC","27-25 44th Dr, Long Island City, New York, 11101",trendslic.com,40.7470364,-73.9423253
94,Smiley Exotics,"201 East 30th St, New York, New York, 10016",smileyexoticsny.com,40.7431219,-73.9794866
95,Two Buds Dispensary,"696 East 241st St, Bronx, New York, 10470",twobudsdispensary.nyc,40.9034293,-73.8507652
96,Platinum Leaf,"196 Rock Hill Dr, Rock Hill, New York, 12275",theplatinumleaf.com,NA,NA
97,Late Bloomers NYC LLC,"57-01 Myrtle Ave, Ridgewood, New York, 11385",latebloomers-nyc.com,40.700654150000005,-73.90361116664164
98,Good Life Collective,"155 Monroe Ave, Rochester, New York, 14607",Website coming soon,43.1507626,-77.6014959
99,Flower Power Dispensers,"22 W 66th St, New York, New York, 10023",flowerpowerdispensers.com,40.77265155,-73.97989102488057
100,Evergreen Retail,"51 N Main St, Brockport, New York, 14420",evergreennyretail.com,43.2185813,-77.9381216
101,Devil's Lettuce,"650 Orchard Park Rd, West Seneca, New York, 14224",devilslettuce.net,42.8309675,-78.7765016
